               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10503,            0.030203,            0.023811,           0.0059524,            0.083333,           0.0042504,           0.0013026,            0.067611,            0.021782,            0.015887,              0.0901,              0.0011,              0.0011
                   1,            0.079313,            0.030182,            0.017261,             0.10984,                 0.1,            0.047802,            0.016996,            0.056661,            0.017862,            0.011893,            0.079254,           0.0022545,           0.0022545
                   2,            0.070117,            0.027447,            0.012709,             0.38548,             0.23333,             0.20402,            0.077821,            0.049172,            0.014591,           0.0083855,            0.068361,           0.0033614,           0.0033614
                   3,            0.064471,            0.023772,           0.0064808,             0.23882,             0.48333,             0.28389,             0.10238,            0.052907,            0.013599,           0.0027304,            0.057421,           0.0044208,           0.0044208
                   4,            0.057175,            0.020275,           0.0036328,             0.44422,             0.75935,             0.49628,             0.21692,            0.044267,           0.0087374,           0.0012931,            0.046433,           0.0054327,           0.0054327
                   5,            0.059224,            0.018865,           0.0029147,             0.50138,             0.61667,             0.56014,             0.23313,            0.052422,           0.0071878,           0.0010798,            0.035397,           0.0063971,           0.0063971
                   6,            0.058788,            0.018972,           0.0021417,             0.73531,             0.74087,             0.82102,             0.36813,            0.041357,           0.0069314,           0.0007166,            0.024314,            0.007314,            0.007314
                   7,            0.049119,            0.018763,           0.0019899,             0.55634,             0.56667,             0.55802,             0.19916,            0.063155,           0.0069845,          0.00077616,            0.013183,           0.0081833,           0.0081833
                   8,            0.061565,            0.016354,           0.0022548,             0.88679,             0.65283,             0.81334,             0.33812,            0.041019,           0.0060158,           0.0010542,            0.008416,            0.008416,            0.008416
                   9,            0.053046,            0.017939,           0.0017922,             0.83561,             0.76251,             0.85564,             0.40025,            0.042348,           0.0057162,          0.00093266,            0.008416,            0.008416,            0.008416
                  10,            0.056333,            0.016649,           0.0020377,             0.78387,             0.78583,             0.88504,             0.33444,            0.044553,           0.0056045,          0.00088944,            0.008218,            0.008218,            0.008218
                  11,            0.049082,            0.016058,            0.002115,             0.72078,             0.73333,              0.8061,             0.33631,              0.0341,           0.0062556,          0.00084762,             0.00802,             0.00802,             0.00802
                  12,            0.053334,            0.018029,           0.0018851,             0.58516,             0.77586,             0.72866,             0.26254,             0.03702,           0.0055621,           0.0010544,            0.007822,            0.007822,            0.007822
                  13,            0.041577,             0.01497,           0.0014675,             0.38514,             0.72036,             0.45861,             0.15642,            0.041094,           0.0052448,           0.0011986,            0.007624,            0.007624,            0.007624
                  14,            0.055478,            0.016059,           0.0016732,              0.6639,             0.71667,             0.78195,             0.35058,            0.030194,           0.0053039,           0.0013929,            0.007426,            0.007426,            0.007426
                  15,            0.053524,            0.015541,           0.0017289,             0.71873,                0.85,             0.83065,             0.40871,            0.033707,            0.004833,            0.001286,            0.007228,            0.007228,            0.007228
                  16,            0.044582,            0.016847,           0.0018745,             0.62398,             0.76667,              0.7575,             0.39998,            0.032947,           0.0047062,           0.0010983,             0.00703,             0.00703,             0.00703
